Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,Active,For Profit,Private,$1B to $10B,10001+,"Hawthorne, California, United States",Venture - Series Unknown,9510343846,USD,9510343846,"Space Exploration Technologies is a space-transportation startup company founded by Elon Musk. SpaceX designs, manufactures, and launches advanced rockets and spacecraft. SpaceX develops crew and cargo capsules, engines, cryogenic tank structures, avionics, equipment, guidance, and control software. The company is developing the partially reusable launch vehicles Falcon 1 and Falcon 9. Founded in 2002, Space Exploration Technologies is headquartered in Hawthorne, California.","Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company focusing on reducing costs associated with space travel.,2002-05-06,day,https://www.spacex.com
Overair,https://www.crunchbase.com/organization/overair,Active,For Profit,Private,,101-250,"Santa Ana, California, United States",Series B,170000000,USD,170000000,"Overair designs, develops, and manufactures electric vertical takeoff and landing (eVTOL) aircraft. It is used for air taxi and aerial mobility operations.  The company was founded in 2019 and is based in Santa Ana, California.","Aerospace, Air Transportation, Electric Vehicle, Manufacturing","Overair designs, develops, and manufactures electric vertical takeoff and landing (eVTOL) aircraft.",2019-01-01,year,https://overair.com
Blue Origin,https://www.crunchbase.com/organization/blue-origin,Active,For Profit,Private,$100M to $500M,1001-5000,"Kent, Washington, United States",Grant,167350000,USD,167350000,"Blue Origin is an aerospace company that focuses on lowering the cost of spaceflight and helping to explore the solar system. Blue Origin’s engines are designed, developed and manufactured in the United States. They provide great control with a precisely timed start, high-power thrust for launch, deep throttling for landing, and stop and restart capabilities. Since our first, simple, single-propellant engine – the BE-1 – we’ve built and tested multiple generations for suborbital and orbital spaceflight.","Aerospace, Manufacturing, National Security, Renewable Energy",Blue Origin is an aerospace company that focuses on lowering the cost of spaceflight and helping to explore the solar system.,2000-09-08,day,http://www.blueorigin.com
DJI,https://www.crunchbase.com/organization/dji,Active,For Profit,Private,$10M to $50M,10001+,"Shenzhen, Guangdong, China",Private Equity,105000000,USD,105000000,"DJI develops and manufactures innovative drone and camera technology for commercial and recreational use. Their platforms empower them to capture images that were once out of reach. Their flying and camera stabilization systems redefine camera placement and motion.  Headquartered in Shenzhen, widely considered China’s Silicon Valley, DJI benefits from direct access to the suppliers, raw materials, and young, creative talent pool necessary for sustained success. Drawing on these resources, they have grown from a single small office in 2006 to a global workforce. Their offices can now be found in the United States, Germany, the Netherlands, Japan, South Korea, Beijing, Shanghai, and Hong Kong. As a privately owned and operated company, DJI focuses on their own vision, supporting creative, commercial, and nonprofit applications of their technology.","Aerospace, Consumer Electronics, Drones, Manufacturing, Photography, Wireless",DJI develops and manufactures innovative drone and camera technology for commercial and recreational use.,2006-11-06,day,http://www.dji.com/
Sierra Space,https://www.crunchbase.com/organization/sierra-space,Active,For Profit,Private,,1001-5000,"Louisville, Colorado, United States",Series A,1400000000,USD,1400000000,"Sierra Space products and programs are working towards a more accessible space economy. The company is rapidly advancing toward the launch of the world’s only winged commercial spaceplane, the Dream Chaser. As the next generation of space transportation, the Dream Chaser will perform cargo supply and return missions for NASA, set to begin in late 2022, delivering up to 12,000 pounds of cargo to the International Space Station (ISS) at a time. The return journey will carry critical data, generated by ISS researcher experiments, enabling earth-bound scientists to benefit from much faster access to these unique results. Dream Chaser is a reusable spaceplane, uniquely capable of a smooth 1.5 low-g re-entry for crew and cargo transportation with the ability to land on existing commercial runways worldwide.","Aerospace, Space Travel, Transportation",Sierra Space is a commercial space company working towards a more accessible space economy.,2021-01-01,year,https://sierraspace.com
OneWeb,https://www.crunchbase.com/organization/oneweb,Active,For Profit,Private,,251-500,"London, England, United Kingdom",Corporate Round,4700000000,USD,4700000000,"OneWeb is building a space-based global communications network that delivers high-speed, low latency internet access. By building a communications network with a constellation of Low Earth Orbit (LEO) satellites, OneWeb will provide connectivity to people around the world. The company's global service will deliver new solutions for broadband, government, and cellular backhaul. Its high-speed, low-latency, network will offer mobility solutions to industries that rely on global connectivity, such as aviation, maritime, automotive, trains, and more. OneWeb commenced launches of the OneWeb satellite constellation, a network of more than 650 low Earth orbit satellites, in February 2019, and by March 2020, had launched 74 of the planned 648 satellites in the initial constellation. The London, England-headquartered company was established in 2012 by Greg Wyler.","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based global communications network that delivers high-speed, low latency internet access.",2012-01-01,year,https://www.oneweb.world
Lunar Outpost,https://www.crunchbase.com/organization/lunar-outpost,Active,For Profit,Private,,11-50,"Golden, Colorado, United States",Seed,12000000,USD,12000000,"Lunar Outpost creates technologies that enable a sustainable presence in cislunar space while driving a positive impact here on Earth. With product lines focused on robotics and advanced instrumentation Lunar Outpost has helped create the first oxygen on Mars as part of the Perseverance mission, has the first ever contract to sell space resources (specifically lunar resources) to NASA, and has successfully created product line from advanced technology work. Key products include the commercial lunar rover MAPP that can provide mobility to a variety of payloads on the lunar surface, and the Canary Air Quality and Monitoring System, an IoT system, which has collected over 20 Billion unique data points to date in over 20 different states.[","Aerospace, Information Technology, Robotics",Lunar Outpost creates technologies that enable a sustainable presence in cislunar space while driving a positive impact here on Earth.,2017-01-01,year,https://lunaroutpost.com/
Quantum Systems,https://www.crunchbase.com/organization/quantum-systems,Active,For Profit,Private,Less than $1M,101-250,"Gilching, Bayern, Germany",Series A,61729941,USD,61729941,"Quantum system develops manufactures and sells unmanned aerial systems, which provide aerial intelligence to commercial and governmental clients around the world.","Aerospace, Agriculture, Mapping Services, Robotics","Unmanned aerial systems, drones, UAV",2015-01-01,month,https://www.quantum-systems.com/
ICEYE,https://www.crunchbase.com/organization/iceye,Active,For Profit,Private,$50M to $100M,251-500,"Espoo, Southern Finland, Finland",Series D,313259184,USD,313259184,"ICEYE is building and operating its own commercial constellation of radar imaging satellites, with SAR data already available to customers. ICEYE empowers others to make better decisions in governmental and commercial industries by providing access to timely and reliable SAR satellite imagery. The company is tackling the current crucial lack of actionable information with world-first aerospace capabilities and a New Space approach. ICEYE’s radar satellite imaging service, designed to deliver very frequent coverage, both day and night, helps clients resolve challenges in sectors such as maritime, disaster management, insurance, and finance.","Aerospace, Information Services, Information Technology",ICEYE operates a synthetic-aperture radar satellite constellation designed to deliver monitoring capabilities for any location on earth.,2014-01-01,year,https://www.iceye.com/
Airspace Link,https://www.crunchbase.com/organization/airspace-link,Active,For Profit,Private,$1M to $10M,11-50,"Detroit, Michigan, United States",Series B,41000070,USD,41000070,"Airspace Link digitizes local airspace for urban air mobility. It provides government, citizen, and business drone solutions to support local government airspace management, fostering citizen empowerment, and business innovation through consumer and b2b air logistical support and services. It was founded in 2018 and is based in Detroit, Michigan.","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,2018-03-28,day,https://airspacelink.com/
