Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Cyble,https://www.crunchbase.com/organization/cyble,Active,For Profit,Private,Less than $1M,101-250,"Alpharetta, Georgia, United States",Series A,14607000,USD,14607000,"Cyble they collect intelligence data in real-time across open and closed sources, which enables you to map, monitor, and mitigate your digital risk footprint, through a combination of our industry-leading machine learning capabilities,","Artificial Intelligence, Cloud Security, Cyber Security, Risk Management",World's fastest-growing threat intelligence provider.,2019-01-01,year,https://cyble.com
Forethought,https://www.crunchbase.com/organization/forethought-7dc2,Active,For Profit,Private,$1M to $10M,101-250,"San Francisco, California, United States",Series C,92000000,USD,92000000,"Forethought is a leading AI company providing customer service solutions that transform the customer experience. Forethought’s products enable seamless customer experiences by infusing intelligence at each stage of the customer support journey: resolving common cases instantly, predicting and prioritizing tickets, and assisting agents with relevant knowledge — all from one platform.","Artificial Intelligence, Customer Service, Enterprise Software, Machine Learning, SaaS",Forethought provides customer service solutions that transform the customer experience with human-centered AI.,2017-09-01,month,https://www.forethought.ai
Aidoc,https://www.crunchbase.com/organization/aidoc,Active,For Profit,Private,,251-500,"Tel Aviv, Tel Aviv, Israel",Series D,237500000,USD,237500000,"Aidoc is a provider of artificial intelligence healthcare solutions that empower physicians to expedite patient treatment and enhance efficiencies. Aidoc's AI-driven solutions analyze medical images directly after the patient is scanned, suggesting prioritization of time-sensitive pathologies, as well as notifying and activating multidisciplinary teams to reduce turnaround time, shorten length of stay and improve overall patient outcomes. Aidoc was founded in 2016 and is based in Tel Aviv, Israel.","Artificial Intelligence, Health Care, Machine Learning, Medical Device",Aidoc specializes in developing artificial intelligence tools for radiologists and multidisciplinary response teams.,2016-02-01,day,http://aidoc.com
Motive,https://www.crunchbase.com/organization/Motive,Active,For Profit,Private,$100M to $500M,1001-5000,"San Francisco, California, United States",Series F,567300000,USD,567300000,"Motive is a remote-first company that serves more than one million drivers and over 100,000 businesses that power the physical economy by building technology to improve the safety, productivity, sustainability, and profitability of businesses that power the physical economy. Shoaib Makani and his co-founders Ryan Johns and Obaid Khan founded the company in 2013 to serve the trucking industry, a workforce that is essential to the economy but underserved by technology. The Motive Automated Operations Platform combines IoT hardware with AI-powered applications to automate vehicle and equipment tracking, driver safety, compliance, maintenance, spend management, and more. Motive serves more than 120,000 businesses, across a wide range of industries including trucking and logistics, construction, oil and gas, food and beverage, field service, agriculture, passenger transit, and delivery. Motive has more than 3,500 employees across 8 global offices.","Artificial Intelligence, Logistics, SaaS, Transportation","Motive builds technology to improve the safety, productivity and profitability of businesses that power the physical economy.",2013-01-01,year,http://gomotive.com
Invoca,https://www.crunchbase.com/organization/invoca,Active,For Profit,Private,$100M to $500M,251-500,"Santa Barbara, California, United States",Series F,201499998,USD,201499998,"Invoca is an AI-powered call tracking and conversational analytics company that brings the depth of marketing analytics traditionally limited to digital consumer interactions. The company specializes in the fields of inbound call marketing, call tracking, call intelligence, and pay-per-call advertising.","Advertising, Analytics, Artificial Intelligence, Digital Marketing, Telecommunications","Invoca specializes in the fields of inbound call marketing, call tracking, call intelligence, and pay-per-call advertising.",2008-05-01,day,http://www.invoca.com
Hopper,https://www.crunchbase.com/organization/hopper,Active,For Profit,Private,$10M to $50M,1001-5000,"Montréal, Quebec, Canada",Secondary Market,633679549,USD,633679549,"Hopper is a travel app that uses predictive analytics to make travel recommendations. The mobile application uses big data to predict and analyze airfare and accommodations. Hopper provides travelers with the information they need to get the best deals on flights and hotels and notifies them when prices are at their predicted lowest points. In 2007, Frederic Lalonde and Joost Ouwerkerk co-founded Hopper in Montréal, Quebec.","Apps, Big Data, Mobile Apps, Predictive Analytics, Travel",Hopper is a travel app that uses predictive analytics to make travel recommendations.,2007-01-01,year,http://www.hopper.com
Domino Data Lab,https://www.crunchbase.com/organization/domino-data-lab,Active,For Profit,Private,$50M to $100M,251-500,"San Francisco, California, United States",Series F,223600000,USD,223600000,"Domino Data Lab empowers data science teams with the leading, open data science platform that enables enterprises to manage and scale data science with discipline and maturity. Model-driven companies including Allstate, Dell Technologies, and Bayer use Domino as a data science system of record to accelerate breakthrough research, increase collaboration, and rapidly deliver high-impact models.","Analytics, Artificial Intelligence, Big Data, Data Mining, Enterprise Applications, Enterprise Software, Machine Learning, Software","Domino Data Lab provides a platform that utilizes data science and AI for collaboration, model deployment, and centralizing infrastructure.",2013-01-01,year,https://www.dominodatalab.com
Delphia,https://www.crunchbase.com/organization/delphia,Active,For Profit,Private,$10M to $50M,11-50,"Toronto, Ontario, Canada",Series A,79480000,USD,79480000,"Delphia is building the world's first investment adviser that allows people to invest their data alongside their money in order to improve their investment returns.  Delphia is able to forecast the growth and profitability for thousands of companies simultaneously through a series of machine learning models. When Delphia's model disagrees with the market, we adjust the weights of our diversified equity portfolio to reflect the confidence we have in our predictions.","Artificial Intelligence, Asset Management, Consumer Software, Financial Services, Hedge Funds, Machine Learning",Delphia builds an AI investment strategy that helps anyone improve their data.,2018-01-04,day,http://delphia.com
EnsoData,https://www.crunchbase.com/organization/ensodata,Active,For Profit,Private,$1M to $10M,11-50,"Madison, Wisconsin, United States",Series A,31050000,USD,31050000,"EnsoData is a startup that utilizes artificial intelligence to analyze the human body to diagnose health conditions. EnsoData, whose software uses machine learning algorithms to help clinicians score sleep data and diagnose patients with sleep apnea and other disorders, has now realized that dream—and then some.  EnsoData's autoscoring algorithm combines AASM scoring best practices with cutting edge machine learning algorithms that learn and adapt to every single patient.","Analytics, Artificial Intelligence, Health Care, Machine Learning, Software",EnsoData is a startup that utilizes artificial intelligence to analyze the human body to diagnose health conditions.,2015-01-01,year,https://www.ensodata.com
nfinite,https://www.crunchbase.com/organization/hubstairs,Active,For Profit,Private,Less than $1M,51-100,"Paris, Ile-de-France, France",Series B,122240558,USD,122240558,"Nfinite is an e-visual merchandising SaaS platform that allows retailers to create all their product visuals/videos in clicks. It is a turnkey solution for creating, displaying, and managing unlimited product visuals through one seamless interface. Simplifying and scaling CGI technology, the nfinite platform enables companies to cut costs, lift logistical constraints, and accelerate their time to market, while reducing environmental impact. With unlimited visual production capacity, companies can enter the world of endless visual combinations, interactive experiences, and real-time personalized content. The company was founded in 2017 and is based in Paris, France.","3D Technology, Artificial Intelligence, E-Commerce, Retail Technology, SaaS",Nfinite develops an AI-based 3D visualization software that allows retailers to create and display product visuals through CGI technology.,2017-01-01,year,https://www.nfinite.app
Miso Robotics,https://www.crunchbase.com/organization/miso-robotics,Active,For Profit,Private,Less than $1M,51-100,"Pasadena, California, United States",Seed,79299425,USD,79299425,"Miso Robotics develops and manufactures artificial intelligence-driven robots that assist chefs to make food at restaurants.  The robots help chefs in preparation work, grilling, frying, and final assembly in commercial kitchens. The company offers Flippy, a burger-grilling robot, which grabs unwrapped burger patties, moves them into position on a hot grill, keeps track of each burger’s cook-time and temperature, then alerts human cooks when it’s time to apply cheese or other toppings. It was founded in 2016 and is based in Pasadena, California.","Artificial Intelligence, Consumer Electronics, Machine Learning, Robotics",Miso Robotics develops and manufactures artificial intelligence-driven robots that assist chefs to make food at restaurants.,2016-01-01,year,http://misorobotics.com
Zoovu,https://www.crunchbase.com/organization/zoovu,Active,For Profit,Private,$100M to $500M,101-250,"Boston, Massachusetts, United States",Series C,183000000,USD,183000000,"Zoovu is the next generation digital commerce search platform that merges context and meaning across channels to help brands and retailers have rich, personalized conversations with their customers. Zoovu’s proprietary AI naturally understands and speaks the customer’s language by turning technical specs into an easy-to-understand conversation. Ultimately adapting to the customer’s conversation style to help better engage, educate and empower them in making purchase decisions in the moments that matter. With Zoovu's world-class semantic library you can easily interpret the context and intent behind your customers' every search.   More than 3,500 brands and retailers use Zoovu to engage, educate and empower shoppers to find and buy the right product, including Amazon, P&G, Whirlpool and Microsoft. Zoovu operates worldwide in 500+ product categories, across all languages.","Artificial Intelligence, Digital Marketing, E-Commerce, Information Technology, Machine Learning, Marketing Automation, SaaS, Software","AI Content Discovery Platform. Help customers find what they want, with a human touch.",2006-01-01,year,https://www.zoovu.com
Speechmatics,https://www.crunchbase.com/organization/speechmatics,Active,For Profit,Private,$1M to $10M,101-250,"Cambridge, Cambridgeshire, United Kingdom",Series B,69965122,USD,69965122,"Speechmatics are global experts in deep learning and speech recognition, providing Autonomous Speech Recognition technology that understands every voice. Offering its speech recognition for solution and service providers to integrate into their stack regardless of their industry or use case. Businesses use Speechmatics around the world to accurately understand and transcribe human-level speech into text regardless of demographic, age, gender, accent, dialect or location.","Artificial Intelligence, Information Technology, Machine Learning, Software, Speech Recognition",Speechmatics is a software company that provides automous speech and voice recognition technology for live and pre-recorded media.,2006-10-01,day,https://www.speechmatics.com
Gro Intelligence,https://www.crunchbase.com/organization/gro-intelligence,Active,For Profit,Private,$1M to $10M,101-250,"New York, New York, United States",Series B,115309000,USD,115309000,"Gro is a global team of technology, climate, and agriculture experts. We have built an AI-powered platform that helps our customers tackle their most pressing challenges - from forecasting and assuring supply chains to climate change and food security. The Gro Platform was founded on diversity and the knowledge that artificial intelligence is only as powerful as the human intelligence behind it. With offices in New York City and Nairobi, we are cross-functional, collaborative, and multicultural. We believe that agricultural and climate data is a form of infrastructure necessary for societies to thrive. But that data becomes knowledge when it pairs the insight of human intelligence with the scale of artificial intelligence.","Agriculture, Artificial Intelligence, Big Data, Data Visualization, Information Technology, SaaS","The AI-powered decision engine across agriculture, climate, and the economy",2014-01-01,year,http://www.gro-intelligence.com
