Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
H1.co,https://www.crunchbase.com/organization/h1,Active,For Profit,Private,$10M to $50M,251-500,"New York, New York, United States",Debt Financing,224863387,USD,224863387,"H1 provides a global healthcare platform to help life sciences companies, hospitals, academic medical centers, and health systems connect with providers, find clinical research, locate industry experts, and benchmark their organizations. As the trusted source of information on healthcare professionals and institutions, H1 connects the entire healthcare ecosystem through real-time data and clinical findings.  Founded in 2017, the company is based in New York, United States.","Biotechnology, Health Care, Life Science, Medical, Therapeutics",H1 provides a health data platform to support the end-to-end therapeutic development process of medical companies and healthcare systems.,2017-01-01,year,https://www.h1.co
Ultima Genomics,https://www.crunchbase.com/organization/ultima-genomics,Active,For Profit,Private,,251-500,"Newark, California, United States",Venture - Series Unknown,600000000,USD,600000000,"Ultima Genomics is unleashing the power of genomics at scale. Ultima Genomics drives the scale of genomic information to enable unprecedented advances in biology and improvements in human health. The company was founded in 2016 and is based in Newark, California.","Biotechnology, Health Care, Life Science, Medical",Ultima Genomics is a developer of a low-cost sequencing platform.,2016-01-01,year,https://www.ultimagenomics.com
The EVERY Company,https://www.crunchbase.com/organization/clara-foods,Active,For Profit,Private,,51-100,"South San Francisco, California, United States",Series C,239750000,USD,239750000,"The EVERY Company is the market leader in engineering, manufacturing and formulating animal-free, animal proteins as ingredients for the global food and beverage industry. Leveraging advanced fermentation to produce functional and nutritional proteins from microorganisms, the Company is reimagining the factory farm model that underpins industrial animal agriculture with a more sustainable, kinder, and healthier alternative. Clara Foods is on a mission to decouple the world's most powerful proteins from the animals that make them.","Biotechnology, Food Processing, Nutrition, Sustainability","The EVERY Company makes real animal protein without the use of a single animal, starting with chicken-less egg proteins.",2015-01-01,year,https://theeverycompany.com
Owkin,https://www.crunchbase.com/organization/owkin-2,Active,For Profit,Private,$10M to $50M,101-250,"New York, New York, United States",Series B,304100000,USD,304100000,"Owkin is a French-American startup that uses artificial intelligence to find the right treatment for every patient. Our focus is to use AI to discover and develop better treatments for unmet medical needs, starting with the fight against cancer. They use AI to identify new drug candidates, de-risk and accelerate clinical trials and build diagnostic tools that improve patient outcomes.  Using federated learning, a pioneering collaborative AI framework, Owkin enables medical and biopharma partners to unlock valuable insights from siloed datasets, while protecting patient privacy and securing proprietary data.  Owkin was co-founded by Thomas Clozel MD, a clinical research doctor and former assistant professor in clinical onco-hematology, and Gilles Wainrib, a pioneer in the field of machine learning in biology, in 2016. Owkin has raised over $255 million and became a ‘unicorn’ – a startup valued at more than $1 billion – in November 2021 through a $180 million investment from French biopharma company Sanofi.","Artificial Intelligence, Biotechnology, Clinical Trials, Machine Learning, Pharmaceutical",Owkin is an AI precision medicine company with a vision to find the right drug for every patient.,2016-01-01,year,http://www.owkin.com
Affinivax,https://www.crunchbase.com/organization/affinivax,Active,For Profit,Private,$10M to $50M,101-250,"Cambridge, Massachusetts, United States",Grant,377487455,USD,377487455,"Affinivax is a biopharmaceutical company developing vaccines used to enhance the depth of protection against infectious diseases. This novel and highly efficient vaccine conjugation technology – named MAPS for Multiple Antigen Presenting System – has the potential to deliver novel vaccines that offer broader disease coverage than existing vaccines, as well as protect against infectious diseases for which there are no effective immunization strategies today. The company is rapidly advancing a lead program targeting Streptococcus pneumoniae (pneumococcus), a pathogen that is responsible for significant morbidity and mortality in children and adults worldwide. Affinivax was established based on the knowledge and insights of world-leading experts in the fields of infectious diseases and vaccines. The company is backed by an investment from the Bill & Melinda Gates Foundation and has an exclusive license from Boston Children’s Hospital for intellectual property related to the MAPS technology platform.","Biotechnology, Health Care, Medical, Pharmaceutical",Affinivax is a biopharmaceutical company developing vaccines that target infectious diseases.,2014-06-01,month,http://www.affinivax.com/
Vamstar,https://www.crunchbase.com/organization/vamstar,Active,For Profit,Private,$100M to $500M,51-100,"London, England, United Kingdom",Series A,11370000,USD,11370000,"Healthcare marketplace is broken from a long-time. Both buyers (hospitals, health systems) and suppliers (pharmaceutical and medical device manufacturers/digital health companies/service or solution providers) struggle to find the optimum opportunities for developing a transaction. It takes time and resources to effectively commercialise new healthcare technology. We use the latest data automation technologies (NLP, ML, DL etc). to aggregate demand from millions of sources and provide real-time analytics to shape the transaction. We aggregate more than $2tn of global demand (70+ countries) in our system and make it easier for healthcare companies to start closing more deals. Our customers use a range of search and bid-development tools within our platform to quickly find the most suitable opportunity and finalise a transaction. Additionally, buyers (hospital, clinics etc.) can directly launch procurement and sourcing programs in our platform and get access to thousands of suppliers in the market for their respective products/services. We have millions of contracts in our platform across countries for suppliers to bid, we have onboarded some of the world's most innovative healthcare companies, we are continuing to raise money to build the world's first digital marketplace, we have won innovation awards, and we're backed by some of the best investors in the world. And we are JUST GETTING STARTED.","B2B, Big Data, Health Care, Health Diagnostics, Life Science, Machine Learning, Marketplace, Medical Device, Natural Language Processing, Procurement",AI-powered Global B2B Healthcare Marketplace,2019-09-12,day,https://www.vamstar.io/
Evolved By Nature,https://www.crunchbase.com/organization/evolved-by-nature,Active,For Profit,Private,,101-250,"Medford, Massachusetts, United States",Series C,190000000,USD,190000000,"Evolved By Nature is a biotech company that focuses on creating Activated Silk technology. It is a platform of sustainable silk molecules that reduces reliance on problematic chemicals, builds better supply chains, and vastly increases the performance potential of existing materials to advance the health of people and the planet. Evolved by Nature, based in Boston, was started by biomedical engineer Rebecca Lacouture and chemist Gregory Altman in 2013. Their product is pure silk in liquid form, a regenerative technology made from discarded silkworm cocoons. The company has patented dozens of molecular combinations of the natural silk protein since filing its first application in 2014.","Biotechnology, Chemical, Product Research, Sustainability",Evolved By Nature is a biotech company that focuses on creating Activated Silk technology.,2013-01-01,year,https://www.evolvedbynature.com
Biobot Analytics,https://www.crunchbase.com/organization/biobot-analytics,Active,For Profit,Private,Less than $1M,11-50,"Cambridge, Massachusetts, United States",Series A,27998737,USD,27998737,"Biobot Analytics is a wastewater epidemiology company that is transforming wastewater infrastructure into public health observatories. Its wastewater monitoring technology analyzes urine and stool samples to create a health database that is independent of hospital reporting systems, free from societal biases affecting who can and can’t seek care, and most importantly, rapidly adaptable to new and emerging public health threats. It was founded in 2017 and is based in Cambridge, Massachusetts, United States.","Analytics, Big Data, Biotechnology, Health Care, Information Services, Water",Biobot Analytics is a wastewater epidemiology company that is transforming wastewater infrastructure into public health observatories.,2017-01-01,year,http://www.biobot.io
Insilico Medicine,https://www.crunchbase.com/organization/insilico-medicine,Active,For Profit,Private,$10M to $50M,101-250,"Hong Kong, Hong Kong Island, Hong Kong",Series D,366300000,USD,366300000,"Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases. It pioneered the applications of the generative adversarial networks (GANs), reinforcement learning, transfer learning, and meta-learning for the generation of novel molecular structures for the diseases with known and unknown targets, and, unlike the other companies in the field, is developing the end-to-end pipeline covering every step of drug discovery, clinical trials analysis, and digital medicine. Insilico Medicine is pursuing internal drug discovery programs in cancer, dermatological diseases, fibrosis, Parkinson's Disease, Alzheimer's Disease, ALS, diabetes, sarcopenia, and aging. Through a partnership with Life Extension, the company launched a range of nutraceutical products, which were compounded using advanced bioinformatics techniques and deep learning approaches. It also provides a range of consumer-facing applications including Young.AI.","Artificial Intelligence, Biotechnology, Health Care, Pharmaceutical",Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases.,2014-01-01,month,http://www.insilico.com
Mayo Clinic,https://www.crunchbase.com/organization/mayoclinic,Active,For Profit,Private,$10B+,10001+,"Rochester, Minnesota, United States",Grant,386100000,USD,386100000,"Mayo Clinic, a not-for-profit medical group practice, provides medical care, research, and education services. It offers medical care services in various specialties, including diabetes and endocrinology, gastroenterology, gynecology, cancer, neurology and neurosurgery, orthopedics, pulmonology, rheumatology, nephrology, urology, and cardiology and heart surgery.","Biotechnology, Health Care, Hospital, Medical, Non Profit, Wellness","MayoClinic is a nonprofit medical practice and medical research group focused on integrated health care, education, and research.",1919-01-01,year,https://www.mayoclinic.org
