Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Akili Interactive Labs,https://www.crunchbase.com/organization/akili,Active,For Profit,Private,$10M to $50M,101-250,"Boston, Massachusetts, United States",Series D,301090000,USD,301090000,"Akili Interactive Labs their broad pipeline of programs to treat cognitive deficiency and improve symptoms associated with medical conditions across neurology and psychiatry, including attention-deficit hyperactivity and disorder (ADHD), major depressive disorder (MDD), autism spectrum disorder (ASD) and various inflammatory diseases.","Biotechnology, Health Care, Medical, Neuroscience, Service Industry, Therapeutics",Akili Interactive Labs Provides Healthcare Treatments.,2011-01-01,year,http://www.akiliinteractive.com
Cala Health,https://www.crunchbase.com/organization/cala-health,Active,For Profit,Private,$10M to $50M,51-100,"Burlingame, California, United States",Series D,148300000,USD,148300000,"Cala Health is a bioelectronic medicine company transforming the standard of care for chronic disease. The company’s wearable neuromodulation therapies merge innovations in neuroscience and technology to deliver individualized peripheral nerve stimulation, and its vertically integrated commercial model is reshaping the delivery of prescription therapies. Cala Health’s lead product, Cala Trio™ therapy, is the only non-invasive prescription therapy for essential tremor. New therapies are under development in Parkinson’s disease and other indications in neurology, as well as targets in psychiatry, cardiology, and autoimmune disorders. The company is headquartered in the San Francisco Bay Area and backed by leading investors in both healthcare and technology.","Health Care, Medical, Neuroscience, Wearables","Cala Health provides bioelectronic medicines, medical devices,  and neurotherapeutics.",2014-01-01,year,http://calahealth.com/
Kernel,https://www.crunchbase.com/organization/kernel-co,Active,For Profit,Private,$10M to $50M,51-100,"Los Angeles, California, United States",Series C,107000000,USD,107000000,"Kernel is a neuroscience company that specializes in developing brain-recording technologies. Its custom-built, non-invasive brain interface acquires neural signals similar in quality to fMRI, MEG & ECoG, as easy to use as EEG. It was founded in 2016 and is headquartered in Los Angeles, California.","Intelligent Systems, Life Science, Neuroscience",Kernel is a neuroscience company that specializes in developing brain-recording technologies.,2016-01-01,year,https://www.kernel.com/
MindMaze,https://www.crunchbase.com/organization/mindmaze,Active,For Profit,Private,$10M to $50M,101-250,"Lausanne, Vaud, Switzerland",Venture - Series Unknown,340659230,USD,340659230,"MindMaze is a digital neurotherapeutic platform that provides digital assessments and therapeutics to treat and rehab patients. It develops medical grade virtual reality products to stimulate neural recovery. It also develops a platform to build intuitive human machine interfaces combining VR, computer graphics, brain imaging, and neuroscience.  MindMaze offers MindMotionPRO, which provides patients with engaging and motivational virtual reality rehabilitation programs that support their recovery goals enabling them to follow a personalized exercise regimen prescribed by the rehabilitation expert. It promotes the ability of clinicians to design and personalize the dose and modality of a range of therapies and provides hospitals with the ability to optimize the delivery of rehabilitation therapy.  MindMaze’s technology includes user interfaces, including a lightweight wearable head mounted display and 3D motion capture cameras that offer VR, gesture, and multiple object/user recognition and augmented reality capabilities, and medical grade technology enables new applications in gaming, brain machine control, and healthcare. It also offers motion capture technology and analysis, immersive virtual reality, and neurophysiological measurements and analysis solutions.  Tej Tadi founded MindMaze on May 24, 2012. Its headquarters is in Lausanne in Switzerland with additional locations in Zürich and Ecublens in the same country and San Francisco in California in the United States.","Health Care, Neuroscience, Therapeutics, Virtual Reality",MindMaze is a digital neurotherapeutic platform that provides digital assessments and therapeutics to treat and rehab patients.,2012-05-24,day,https://www.mindmaze.com
humm,https://www.crunchbase.com/organization/humm-technologies-pty-ltd,Active,For Profit,Private,$1M to $10M,1-10,"Berkeley, California, United States",Seed,3108154,USD,3108154,"humm harnesses cutting-edge neuroscience into products that allow people to learn faster and perform better. humm is working to bring the incredible results of neuroscience research out of the lab and into non-invasive wearables that improve the quality of life for everyday people. Our first product is a clinically validated patch that you wear for 15 minutes to get up to 90 minutes of improved working memory, by gently stimulating the signals in the part of the brain that controls your executive thinking. humm improves your ability to learn and be at your best, allowing people to reconnect with the joy of learning and challenge themselves to continue growing at any stage of life, whether it's for work or personal enjoyment!","Biotechnology, Human Computer Interaction, Neuroscience, Wearables",humm harnesses cutting-edge neuroscience into products that allow people to learn faster and perform better.,2017-06-01,day,https://www.thinkhumm.com
Neuro-ID,https://www.crunchbase.com/organization/neuro-id,Active,For Profit,Private,$1M to $10M,11-50,"Whitefish, Montana, United States",Series B,42000000,USD,42000000,"Neuro-ID is an analytics platform that provides actionable insight to reduce and detect fraud and online threats while improving customer experience. Its mission is to help its clients to build meaningful, lasting relationships with their digital customers. With a decade of patented scientific research, Neuro-ID unlocks a rich source of behavioral data, gathered in real-time from any device, in any language. This visibility provides actionable insight that their clients need to reduce fraud while improving customer experience.","Analytics, Fraud Detection, Neuroscience, Predictive Analytics",Neuro-ID is an analytics platform that provides actionable insight to reduce and detect fraud and online threats.,2014-01-01,year,https://www.neuro-id.com/
Oculogica,https://www.crunchbase.com/organization/oculogica,Active,For Profit,Private,Less than $1M,1-10,"New York, New York, United States",Venture - Series Unknown,21790821,USD,21790821,"Oculogica is a medical device manufacturing company that specializes in the fields of neuro-diagnostics, brain injury, TBI, concussion, and eye-tracking. The company's EyeBOX device is the only baseline-free test authorized by the FDA as an aid in the diagnosis of concussion, also known as mild traumatic brain injury (mTBI). It requires no baseline data nor individual calibration, and therefore results cannot be influenced by patient will. Oculogica was established in 2013 and is based in New York, NY, United States.","Health Care, Health Diagnostics, Medical, Neuroscience","Oculogica specializes in the fields of neuro-diagnostics, brain injury, TBI, concussion, and eye tracking.",2013-01-01,year,http://www.oculogica.com
Pymetrics,https://www.crunchbase.com/organization/pymetrics,Active,For Profit,Private,$10M to $50M,51-100,"New York, New York, United States",Series B,56630000,USD,56630000,"Pymetrics develops neuroscience-based assessment and prediction technology to transform the way companies hire, retain, and develop their employees. It offers cognitive and emotional assessment solutions; and a personalized and dynamic recommendation engine for recruiting/hiring, retaining, and developing talent.  Frida E. Polli and Julie Yoo founded Pymetrics in September 2013. Its headquarters is in New York City.","Artificial Intelligence, Intelligent Systems, Neuroscience, Recruiting, Software, Staffing Agency",Pymetrics develops neuroscience-based assessment and prediction technology for staffing services.,2011-01-01,year,https://www.pymetrics.ai
Verge Genomics,https://www.crunchbase.com/organization/verge-genomics,Active,For Profit,Private,$1M to $10M,11-50,"San Francisco, California, United States",Series B,134120000,USD,134120000,"Verge Genomics transforms drug discovery with artificial intelligence. Verge was founded by a unique combination of the field's top machine learning experts and seasoned neuroscience drug developers. Together, they share the vision that exponential advances in computational genomics combined with new insights into neuroscience has created a breakthrough opportunity to discover drugs that dramatically improve the lives of patients suffering from neurodegenerative disease.","Biotechnology, Genetics, Health Care, Machine Learning, Neuroscience",Verge Genomics uses machine learning and human genomics to accelerate drug discovery.,2015-01-01,year,http://www.vergegenomics.com
Alto Neuroscience,https://www.crunchbase.com/organization/alto-neuroscience,Active,For Profit,Private,,11-50,"Los Altos, California, United States",Series B,40000000,USD,40000000,"Alto Neuroscience is a clinical-stage biopharmaceutical company that integrates the biology of the patient into drug development to improve the lives of people with mental health conditions. Through its AI-enabled biomarker platform, Alto Neuroscience combines rich sources of information on patients’ brain activity and behavior to rapidly develop highly-effective medicines for targeted populations. Alto Neuroscience aims to replace today's trial-and-error clinical approach by aligning the right Alto drug with the right patient, redefining psychiatry at a time when the world needs it most.","Artificial Intelligence, Biopharma, Biotechnology, Health Care, Neuroscience",Alto Neuroscience is a clinical-stage biopharmaceutical company that creates precision medicines through its AI-driven biomarker platform.,2019-01-01,year,https://www.altoneuroscience.com/
